p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
9.73452966880663e-64	0.786531853926298	1	0.829	2.65577438424383e-59	0	stmn1a
1.70984409365151e-60	0.853856065718825	0.858	0.411	4.66479665630006e-56	0	atp1b3a
1.08142103700697e-58	0.816852016779565	0.65	0.188	2.95033287316241e-54	0	casz1
1.60337654588413e-54	0.640641585991738	0.679	0.213	4.37433189248108e-50	0	cdon
3.48304290380059e-53	0.728068980480832	0.98	0.474	9.50243765014878e-49	0	msx3
1.97800494812266e-50	0.582340226751427	0.756	0.265	5.39639309946825e-46	0	zic3
3.78724811175939e-47	0.695669354850043	0.894	0.401	1.0332370298502e-42	0	zic2b
2.62550186522468e-45	0.596650981987749	0.695	0.259	7.16289418870596e-41	0	zic2a
4.91463234064598e-45	0.652458207617333	0.825	0.375	1.34080999517504e-40	0	msx1b
6.08741291542911e-44	0.540546098724816	0.537	0.154	1.66076799158737e-39	0	cdh6
6.46656318229261e-43	0.602916319613595	0.691	0.247	1.76420776739307e-38	0	zic1
1.20589552480855e-40	0.598516164260225	0.996	0.78	3.28992417078269e-36	0	pcna
1.85101210452145e-38	0.590521170367834	0.923	0.577	5.04993122355542e-34	0	mdkb
1.52107552771209e-35	0.4808811968049	0.646	0.24	4.14979825470412e-31	0	zic4
4.26455522348681e-33	0.64612326521803	0.829	0.496	1.16345595607167e-28	0	id3
8.8061436731888e-29	0.370529484531623	0.488	0.174	2.40249211691937e-24	0	efnb2a
1.12384214557266e-28	0.471212361716037	0.866	0.543	3.06606614155133e-24	0	nasp
1.19039916186639e-28	0.413910150582131	0.5	0.186	3.24764699340387e-24	0	zic5
5.90088804251474e-28	0.481294384070083	0.898	0.608	1.60988027575887e-23	0	rpa3
3.07302415144363e-27	0.459837156813268	0.902	0.647	8.38382448996852e-23	0	mcm7
3.22178837081248e-27	0.492692731050448	0.862	0.561	8.78968303325062e-23	0	slbp
9.66483513046561e-26	0.400467460998926	0.967	0.835	2.63676032029363e-21	0	nap1l1
4.49987869742755e-24	0.407714034683567	0.366	0.117	1.22765690623218e-19	0	atoh8
9.66755283194602e-24	0.39168788768901	0.561	0.251	2.63750176361151e-19	0	fzd10
1.60847529168017e-23	0.64298369165588	0.362	0.117	4.38824229076184e-19	0	atoh1a
4.78868693563994e-23	0.469278247220018	0.654	0.341	1.30644956978129e-18	0	zgc:110540
5.43988416715219e-23	0.408396657814374	0.764	0.456	1.48410919848246e-18	0	rpa1
1.28289646651243e-22	0.402258068350577	0.915	0.682	3.49999813993922e-18	0	seph
5.71622364830281e-22	0.348001906950523	0.996	0.883	1.55950013572997e-17	0	sumo3b
1.58470243993656e-21	0.367329254082567	0.598	0.299	4.32338519663493e-17	0	unga
1.6888217332984e-21	0.582961289649247	0.874	0.632	4.6074434527847e-17	0	rrm2.1
1.80998420342261e-21	0.396738048159555	0.882	0.625	4.93799890377755e-17	0	lig1
2.23967489145917e-21	0.387916402531924	0.728	0.419	6.11028103887891e-17	0	mcm4
4.61075059619831e-21	0.295948004378591	0.317	0.105	1.25790497765482e-16	0	tspan36
1.75082101972248e-20	0.252443906514309	1	0.992	4.77658990600687e-16	0	zgc:56493
3.31350352356475e-20	0.403524485306061	0.699	0.437	9.03990031298935e-16	0	fen1
4.78746171053886e-20	0.419318907943261	0.748	0.469	1.30611530386921e-15	0	irx1b
5.70561676377792e-20	0.555053083973507	0.833	0.604	1.55660636549389e-15	0	rrm2
1.27044385778644e-19	0.363547016283017	0.654	0.382	3.46602493281297e-15	0	uhrf1
1.61954050818905e-19	0.383373289702706	0.858	0.637	4.41843041444137e-15	0	serinc5
1.68653080322716e-19	0.404111750852052	0.801	0.572	4.60119333736434e-15	0	id2a
3.34157103467329e-19	0.330574465456437	1	0.873	9.11647409679567e-15	0	mdka
3.63334839423074e-19	0.494625931971457	0.789	0.55	9.91250108914031e-15	0	kiaa0101
7.117027480937e-19	0.373386375640979	0.797	0.549	1.94166743734923e-14	0	rpa2
9.52888967594513e-19	0.503888348078023	0.394	0.163	2.59967168139135e-14	0	olig4
1.16503647525933e-18	0.343881716170371	0.472	0.214	3.17845251180252e-14	0	pdgfaa
1.41411121517833e-18	0.360405216809766	0.951	0.756	3.85797821724952e-14	0	anp32b
1.64892870842119e-18	0.26372904222149	0.313	0.11	4.49860730231469e-14	0	smad1
4.16283246648499e-18	0.279673640007479	0.996	0.934	1.13570395350643e-13	0	setb
4.81244255652892e-18	0.252033590828975	1	0.998	1.31293057827222e-13	0	nme2b.1
9.19305823826785e-18	0.366415099166215	0.683	0.396	2.50805014856424e-13	0	mcm6
9.84447652555791e-18	0.34532168299911	0.846	0.544	2.68577008570271e-13	0	epha2a
2.05004923000548e-17	0.30016112713827	0.642	0.364	5.59294430930096e-13	0	wls
2.21080507276717e-17	0.324454722717215	0.854	0.577	6.03151839952339e-13	0	chaf1a
2.38154355576505e-17	0.33336986463708	0.951	0.785	6.49732712883822e-13	0	rbbp4
3.40582512727775e-17	0.301061217939274	0.581	0.316	9.29177211223914e-13	0	rfc4
4.02470111130777e-17	0.307628159035069	0.663	0.397	1.09801895718699e-12	0	rfc5
6.01941234916488e-17	0.296560457405829	0.996	0.867	1.64221607709916e-12	0	ranbp1
1.06417070376051e-16	0.43095699451671	0.955	0.838	2.90327051399941e-12	0	her2
1.27319230594837e-16	0.491099531926777	0.516	0.286	3.47352324908835e-12	0	cdc6
5.53768890200392e-16	0.287376547503129	0.984	0.874	1.51079228624471e-11	0	hnrnpa1b
8.66145700739978e-16	0.418089394593275	0.687	0.432	2.36301870075881e-11	0	mcm3
1.08664351346722e-15	0.435508915000779	0.675	0.412	2.96458083344126e-11	0	cdca7a
1.29060890612638e-15	0.299097195486374	0.524	0.287	3.521039217694e-11	0	esco2
1.6915039467597e-15	0.331999015049325	0.439	0.218	4.61476106754982e-11	0	ccne2
2.96423687930855e-15	0.31492528525616	0.907	0.648	8.08703105412959e-11	0	CABZ01074745.1
2.97982692952809e-15	0.362433573426289	0.626	0.363	8.12956382913855e-11	0	mcm2
8.65065258603422e-15	0.317653909341847	0.817	0.596	2.36007103852186e-10	0	ssrp1a
9.14979933180958e-15	0.28705656222751	0.898	0.675	2.49624825370429e-10	0	ppm1g
