p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
9.73452966880663e-64	0.786531853926298	1	0.829	2.65577438424383e-59	0	stmn1a
1.70984409365151e-60	0.853856065718825	0.858	0.411	4.66479665630006e-56	0	atp1b3a
1.08142103700697e-58	0.816852016779565	0.65	0.188	2.95033287316241e-54	0	casz1
1.60337654588413e-54	0.640641585991738	0.679	0.213	4.37433189248108e-50	0	cdon
3.48304290380059e-53	0.728068980480832	0.98	0.474	9.50243765014878e-49	0	msx3
1.97800494812266e-50	0.582340226751427	0.756	0.265	5.39639309946825e-46	0	zic3
3.78724811175939e-47	0.695669354850043	0.894	0.401	1.0332370298502e-42	0	zic2b
2.62550186522468e-45	0.596650981987749	0.695	0.259	7.16289418870596e-41	0	zic2a
4.91463234064598e-45	0.652458207617333	0.825	0.375	1.34080999517504e-40	0	msx1b
6.08741291542911e-44	0.540546098724816	0.537	0.154	1.66076799158737e-39	0	cdh6
6.46656318229261e-43	0.602916319613595	0.691	0.247	1.76420776739307e-38	0	zic1
1.20589552480855e-40	0.598516164260225	0.996	0.78	3.28992417078269e-36	0	pcna
1.85101210452145e-38	0.590521170367834	0.923	0.577	5.04993122355542e-34	0	mdkb
1.52107552771209e-35	0.4808811968049	0.646	0.24	4.14979825470412e-31	0	zic4
4.26455522348681e-33	0.64612326521803	0.829	0.496	1.16345595607167e-28	0	id3
1.12384214557266e-28	0.471212361716037	0.866	0.543	3.06606614155133e-24	0	nasp
5.90088804251474e-28	0.481294384070083	0.898	0.608	1.60988027575887e-23	0	rpa3
3.07302415144363e-27	0.459837156813268	0.902	0.647	8.38382448996852e-23	0	mcm7
3.22178837081248e-27	0.492692731050448	0.862	0.561	8.78968303325062e-23	0	slbp
1.60847529168017e-23	0.64298369165588	0.362	0.117	4.38824229076184e-19	0	atoh1a
4.78868693563994e-23	0.469278247220018	0.654	0.341	1.30644956978129e-18	0	zgc:110540
1.6888217332984e-21	0.582961289649247	0.874	0.632	4.6074434527847e-17	0	rrm2.1
5.70561676377792e-20	0.555053083973507	0.833	0.604	1.55660636549389e-15	0	rrm2
3.63334839423074e-19	0.494625931971457	0.789	0.55	9.91250108914031e-15	0	kiaa0101
9.52888967594513e-19	0.503888348078023	0.394	0.163	2.59967168139135e-14	0	olig4
1.06417070376051e-16	0.43095699451671	0.955	0.838	2.90327051399941e-12	0	her2
1.27319230594837e-16	0.491099531926777	0.516	0.286	3.47352324908835e-12	0	cdc6
1.08664351346722e-15	0.435508915000779	0.675	0.412	2.96458083344126e-11	0	cdca7a
1.37829402772974e-11	0.427832928177409	0.854	0.784	3.76026176645226e-07	0	npm1a
1.93493965741582e-11	0.511015900250471	0.378	0.199	5.27890237336184e-07	0	egr2b
2.20382748223998e-87	1.01421761996704	0.938	0.324	6.0124821370471e-83	1	nusap1
6.12327906120712e-79	0.938714428416603	0.784	0.221	1.67055299347853e-74	1	kpna2
4.40798236039199e-72	0.864513943840728	0.974	0.49	1.20258574756214e-67	1	mki67
1.45819877483391e-71	0.771481017294019	0.859	0.287	3.97825789750187e-67	1	top2a
1.83037322001706e-70	0.693865927749697	0.639	0.137	4.99362421885056e-66	1	si:ch211-69g19.2
2.59267724685176e-67	0.767954255434495	0.85	0.294	7.07334206486097e-63	1	ube2c
4.99579466040799e-67	0.697531086852893	0.89	0.324	1.36295269925251e-62	1	mad2l1
6.8165285008807e-66	0.582971917495914	0.7	0.179	1.85968530561027e-61	1	cenpf
5.79595232141046e-65	0.677493828385421	0.837	0.277	1.5812517123272e-60	1	cdk1
9.30688112019478e-65	0.734768445783873	0.828	0.284	2.53910330721154e-60	1	plk1
7.89148391348302e-64	0.717486576025474	0.815	0.281	2.15295464127644e-59	1	tpx2
5.63606360829273e-63	0.566129245920151	0.608	0.138	1.53763087361442e-58	1	ccnb3
3.74986080729065e-60	0.641585105279309	0.709	0.205	1.02303702544504e-55	1	kif11
5.97364290296088e-60	0.627820062930576	0.714	0.214	1.62972925678579e-55	1	ccnb1
1.25742062227999e-59	0.589123817910036	0.753	0.219	3.43049494170428e-55	1	cdc20
2.86511122340211e-56	0.639392217545981	0.692	0.209	7.81659643968563e-52	1	aspm
9.49804116935355e-56	0.596246901134096	0.731	0.232	2.59125559182304e-51	1	kifc1
2.12171368375442e-54	0.845556783029526	0.925	0.403	5.7884592720188e-50	1	zic2b
8.53458037733295e-51	0.58830539603877	0.665	0.208	2.32840421854398e-46	1	birc5a
2.51852488132251e-47	0.721948551385852	0.96	0.483	6.87103958122407e-43	1	msx3
5.49163951881153e-42	0.661083980990019	0.938	0.569	1.49822909352216e-37	1	tuba8l
2.15238632442119e-41	0.755640412292345	0.934	0.58	5.87214037028588e-37	1	mdkb
1.40566468951309e-34	0.570875807583273	0.67	0.256	3.83493440592961e-30	1	zic1
2.99266392800471e-34	0.588349012237162	1	0.874	8.16458572838246e-30	1	mdka
5.47544928735364e-32	0.664877747735769	0.797	0.385	1.49381207457582e-27	1	msx1b
3.3597530111801e-24	0.663241557686069	0.445	0.159	9.16607816510154e-20	1	gsx1
1.63412661252256e-22	0.673695648348121	0.493	0.202	4.45822422428405e-18	1	lbx1b
1.14569501350578e-19	0.595836177901242	0.987	0.91	3.12568513584647e-15	1	HIST2H2AB (1 of many).5
4.74909987231155e-12	0.729339768203855	0.3	0.13	1.29564942716404e-07	1	atoh1a
4.60429827967809e-05	0.628636500708311	0.705	0.606	1	1	fabp7a
6.4698045401675e-52	0.962516726120337	0.606	0.133	1.7650920746485e-47	2	dbx1b
1.38035970457903e-51	0.882351564575593	0.806	0.269	3.7658973460325e-47	2	foxb1a
7.87726351781118e-49	0.791990225150058	0.694	0.184	2.14907503292925e-44	2	CABZ01093502.1
5.3275569088091e-39	0.776407015271067	0.738	0.26	1.4534640758613e-34	2	sp8a
1.9014667135331e-38	0.702765892993458	0.919	0.541	5.18758148786101e-34	2	fzd7a
4.97974291002781e-35	0.739032583656297	0.881	0.474	1.35857346071379e-30	2	gbx1
3.15214773873004e-34	0.633219166263305	0.906	0.476	8.59968946080329e-30	2	cks1b
9.74558776655472e-34	0.785208288174779	0.569	0.168	2.65879125447146e-29	2	dbx1a
1.16088860785801e-33	0.766394657253846	0.862	0.446	3.16713629995823e-29	2	mibp
